Map,Lot,Unit,Street Address,Acres,Class,Assess. 2021,Apprais. 2021,Improv. 2021,Land Value 2021,Total Value 2021,Assess. 2020,Apprais. 2020,Recent Sale,Recent Date,Previous Sale,Previous Date,Grafton Sale,Grafton Date
201,112,,14 HIGH ST,0.76,R,"$428,500","$428,500","$269,600","$158,900","$428,500","$396,100","$396,100","$111,000",1997-06-27,"$4,000",1988-01-22,$0,
201,113,,8 HIGH ST,0.58,R,"$144,500","$144,500","$46,200","$98,300","$144,500","$122,000","$122,000",$0,2013-02-20,"$100,000",2007-04-06,$0,
201,117,,4 CREAMERY LN,1.53,,"$513,300","$513,300","$289,300","$224,000","$513,300","$390,100","$390,100",$0,1996-12-02,"$138,500",1995-09-22,$0,
201,118,,13 CREAMERY LN,1.5,R,"$304,100","$304,100","$174,500","$129,600","$304,100","$245,500","$245,500",$0,2015-02-23,"$4,000",1988-03-23,$0,
201,119,,12 CREAMERY LN,0.61,R,"$265,300","$265,300","$154,200","$111,100","$265,300","$223,000","$223,000",$0,2016-06-03,"$90,000",2013-12-10,$0,
201,120,,1 HIGH ST,3.11,E,"$1,492,300","$1,492,300","$1,225,500","$266,800","$1,492,300","$1,299,500","$1,299,500",$0,2008-09-02,$0,,$0,
201,122,,18 SPRING HILL LN,6.21,S,$200,"$144,500",$0,"$144,500","$144,500",$200,"$106,000","$835,000",1997-05-30,"$10,000",1997-01-31,$0,
201,123,,10 SPRING HILL LN,7.68,S,$300,"$161,400",$0,"$161,400","$161,400",$300,"$119,400","$835,000",1997-05-30,"$10,000",1997-01-31,$0,
201,124,,6 SPRING HILL LN,1.5,R,"$619,200","$619,200","$465,200","$154,000","$619,200","$479,200","$479,200","$500,000",2007-05-18,"$390,000",2003-07-31,$0,
201,125,,13 HIGH ST,1.56,R,"$284,500","$284,500","$152,300","$132,200","$284,500","$237,400","$237,400","$255,000",2013-07-09,$0,,$0,
201,126,,15 HIGH ST,1.66,R,"$294,500","$294,500","$156,600","$137,900","$294,500","$221,500","$221,500","$4,000",1980-12-23,$0,,$0,
201,127,,19 HIGH ST,1.3,R,"$214,900","$214,900","$85,100","$129,800","$214,900","$180,600","$180,600","$175,000",2016-01-05,$0,,$0,
201,128,1000,27 HIGH ST,2.17,R,"$358,400","$358,400","$231,800","$126,600","$358,400","$302,300","$302,300","$165,000",1996-05-17,"$85,000",1989-03-31,$0,
201,129,,35 HIGH ST,1.7,R,"$287,500","$287,500","$149,400","$138,100","$287,500","$245,900","$245,900","$249,000",2015-05-26,"$240,000",2004-11-22,$0,
201,130,,19 ROCKY HILL LN,18.7,R,"$812,100","$882,500","$597,800","$284,700","$882,500","$783,600","$847,600",$0,2011-12-06,"$653,000",2011-07-19,$0,
201,131,,31 ROCKY HILL LN,20,R,"$2,500","$333,600",$0,"$333,600","$333,600","$2,400","$246,600",$0,2003-04-16,"$66,000",1987-12-14,$0,
201,132,,12 ROCKY HILL LN,12.8,R,"$686,100","$741,100","$507,900","$233,200","$741,100","$748,600","$788,200","$30,000",1987-07-17,$0,,$0,
201,133,,49 HIGH ST,0.95,R,"$113,900","$113,900","$10,900","$103,000","$113,900","$79,500","$79,500","$100,000",2020-12-03,"$25,000",2015-11-23,"$100,000",2020-12-03
401,2,,40 PRESTON RD,43.5,R,"$544,300","$695,800","$351,200","$344,600","$695,800","$390,600","$527,600",$0,,$0,,$0,
401,3,,30 PRESTON RD,13.87,R,"$547,900","$604,600","$329,500","$275,100","$604,600","$396,100","$447,400","$425,000",2017-04-21,"$80,000",2005-04-20,$0,
401,4,,76 GOODELL LN,37,R,"$53,300","$138,100","$8,500","$129,600","$138,100","$43,000","$119,700",$0,2005-05-05,$0,,$0,
401,5,,54 GOODELL LN,23.11,S,"$1,000","$59,200",$0,"$59,200","$59,200","$1,000","$52,800","$4,000",1988-12-27,$0,,$0,
401,6,,42 GOODELL LN,104.74,S,"$6,000","$204,100",$0,"$204,100","$204,100","$6,000","$184,700",$0,2002-11-05,$0,,$0,
401,7,,68 PRESTON RD,191.4,S,"$25,500","$689,600",$0,"$689,600","$689,600","$25,500","$576,600",$0,1990-05-01,$0,,$0,
401,9,,8 GOODELL LN,2.7,S,$100,"$22,300",$0,"$22,300","$22,300",$100,"$10,800","$69,000",2020-05-14,$0,,"$69,000",2020-05-14
401,10,,298 BAKER HILL RD,5.2,R,"$519,700","$519,700","$343,500","$176,200","$519,700","$466,100","$466,100","$475,000",2008-09-03,"$320,000",2006-09-18,$0,
401,12,,65 GOODELL LN,81.63,S,"$2,500","$166,600",$0,"$166,600","$166,600","$2,500","$154,300",$0,,$0,,$0,
401,13,1000,114 DARTMOUTH COLLEGE HY,29.93,R,"$475,300","$592,200","$340,500","$251,700","$592,200","$451,500","$579,300","$580,000",2021-01-21,"$501,200",2008-09-30,"$580,000",2021-01-21
401,13,2000,20 PRESTON RD,112.33,R,"$685,600","$1,166,800","$392,300","$774,500","$1,166,800","$605,700","$1,042,300",$0,1999-05-12,"$320,000",1995-12-28,$0,
401,14,,102 DARTMOUTH COLLEGE HY,0.83,R,"$357,500","$357,500","$232,400","$125,100","$357,500","$288,800","$288,800","$303,000",2020-08-31,"$314,000",2019-12-16,"$151,533",2020-08-31
401,15,,84 DARTMOUTH COLLEGE HY,52,R,"$720,800","$880,700","$396,000","$484,700","$880,700","$429,800","$574,600",$0,2005-04-14,"$110,700",1977-08-30,$0,
401,17,,60 DARTMOUTH COLLEGE HY,15.8,R,"$742,600","$834,600","$606,800","$227,800","$834,600","$670,000","$753,600","$185,000",2016-07-19,"$19,500",2011-08-17,$0,
401,18,,19 GOOSE POND RD,125.6,R,"$54,400","$649,200","$1,700","$647,500","$649,200","$54,200","$579,800",$0,2013-09-16,$0,,$0,
401,19,,47 GOOSE POND RD,1.2,R,"$323,000","$323,000","$180,600","$142,400","$323,000","$271,100","$271,100",$0,1999-11-02,"$12,000",1966-08-26,"$169,615",2021-04-01
401,20,,51 GOOSE POND RD,1.5,R,"$262,300","$262,300","$119,000","$143,300","$262,300","$201,900","$201,900",$0,2012-02-07,"$210,000",2007-03-06,$0,
401,21,,57 GOOSE POND RD,1.5,R,"$337,100","$337,100","$193,800","$143,300","$337,100","$285,700","$285,700",$0,2016-12-14,$0,,$0,
401,23,1100,127 GOOSE POND RD,56.37,S,"$2,600","$476,800",$0,"$476,800","$476,800","$2,600","$259,100","$496,533",2020-05-14,"$310,000",1989-08-13,"$496,533",2020-05-14
401,23,3000,149 GOOSE POND RD,2.82,R,"$340,600","$340,600","$176,100","$164,500","$340,600","$288,500","$288,500","$290,000",2014-04-11,"$320,533",2005-08-31,$0,
401,24,,153 GOOSE POND RD,2,R,"$288,500","$288,500","$180,400","$108,100","$288,500","$223,400","$223,400",$0,2015-07-08,$0,,$0,
401,25,,157 GOOSE POND RD,1.7,R,"$317,500","$317,500","$221,900","$95,600","$317,500","$247,100","$247,100","$267,000",2005-11-07,"$65,500",1995-06-05,$0,
401,26,,5 PELTON LN,5.05,R,"$437,800","$437,800","$269,100","$168,700","$437,800","$359,000","$359,000","$227,500",1999-09-28,"$46,000",1995-10-10,$0,
401,27,,32 PELTON LN,11.67,R,"$448,800","$498,200","$322,900","$175,300","$498,200","$401,500","$445,200","$175,000",2007-04-20,"$4,000",1998-06-09,$0,
401,28,,12 PELTON LN,5.97,R,"$449,600","$449,600","$234,300","$215,300","$449,600","$389,900","$389,900","$305,000",2004-08-17,"$23,300",1996-12-09,$0,
401,29,,342 BAKER HILL RD,6.1,R,"$262,700","$262,700","$86,100","$176,600","$262,700","$187,000","$187,000",$0,2016-07-15,$0,,$0,
401,30,1000,320 BAKER HILL RD,2.6,R,"$492,300","$492,300","$312,700","$179,600","$492,300","$395,400","$395,400","$400,000",2014-10-03,"$376,000",2011-07-08,$0,
401,30,2000,330 BAKER HILL RD,29.4,S,"$2,800","$218,200",$0,"$218,200","$218,200","$2,800","$175,200",$0,2012-12-28,$0,,$0,
401,31,1000,162 GOOSE POND RD,1.03,R,"$174,100","$174,100","$82,800","$91,300","$174,100","$126,600","$126,600",$0,1985-09-12,$0,,$0,
401,32,,156 GOOSE POND RD,0.45,R,"$130,000","$130,000","$72,200","$57,800","$130,000","$106,700","$106,700","$146,000",2015-08-26,"$45,000",2010-07-01,$0,
401,33,,154 GOOSE POND RD,0.45,R,"$146,600","$146,600","$81,500","$65,100","$146,600","$118,900","$118,900",$0,,$0,,$0,
401,34,,148 GOOSE POND RD,1.9,R,"$362,900","$362,900","$228,500","$134,400","$362,900","$312,600","$312,600","$290,000",2014-01-31,"$45,000",2004-04-06,$0,
401,35,,144 GOOSE POND RD,6.2,R,"$625,200","$625,200","$455,900","$169,300","$625,200","$511,000","$511,000","$535,000",2016-04-20,"$163,048",1990-08-10,$0,
401,36,,142 GOOSE POND RD,0.91,R,"$304,100","$304,100","$184,400","$119,700","$304,100","$220,200","$220,200",$0,2004-12-01,"$96,000",1990-12-24,$0,
401,37,,138 GOOSE POND RD,0.47,R,"$133,300","$133,300","$45,100","$88,200","$133,300","$92,500","$92,500","$74,933",2003-08-01,"$17,000",1979-05-25,$0,
401,38,,104 GOOSE POND RD,2.6,R,"$282,400","$282,400","$149,100","$133,300","$282,400","$201,600","$201,600",$0,2015-10-15,"$155,000",2013-05-01,$0,
401,39,,72 GOOSE POND RD,174,R,"$307,200","$863,300","$143,900","$719,400","$863,300","$237,800","$742,300","$750,000",2013-09-24,$0,,$0,
401,40,,54 GOOSE POND RD,1.1,R,$900,"$9,700",$0,"$9,700","$9,700",$900,"$8,800","$1,845,000",2020-12-21,"$315,000",2009-07-22,"$1,845,000",2020-12-21
401,41,,40 GOOSE POND RD,0.07,R,$800,$800,$0,$800,$800,$700,$700,$0,2006-10-08,$0,,$0,
401,42,,36 GOOSE POND RD,0.54,R,"$319,600","$319,600","$203,900","$115,700","$319,600","$184,400","$184,400","$355,000",2019-09-27,"$179,000",2017-05-15,$0,
401,43,,20 DARTMOUTH COLLEGE HY,32.8,S,"$6,200","$300,300",$0,"$300,300","$300,300","$6,200","$253,600",$0,2002-02-18,"$2,666",2001-04-27,$0,
401,44,,1 DARTMOUTH COLLEGE HY,1.1,R,"$183,100","$183,100","$13,400","$169,700","$183,100","$103,300","$103,300",$0,,$0,,$0,
401,45,,7 HEWS LN,2.4,R,"$264,000","$264,000","$126,300","$137,700","$264,000","$249,500","$249,500",$0,,$0,,$0,
401,46,,13 HEWS LN,2.8,R,"$300,200","$300,200","$155,900","$144,300","$300,200","$289,400","$289,400",$0,1992-09-15,"$15,000",1988-09-22,$0,
401,47,,17 HEWS LN,21,S,"$2,700","$341,700",$0,"$341,700","$341,700","$2,700","$280,000",$0,2015-03-30,"$1,100,000",2006-11-17,$0,
401,48,,20 HEWS LN,19.03,R,"$599,200","$716,100","$367,000","$349,100","$716,100","$346,300","$450,900","$400,000",2019-03-29,"$2,666",2001-10-18,$0,
