PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
16	1 MARKET ST	201/  11/  /  / 	201	11		  4094/0467	"$1,401,800 "	"$1,401,800 "	1.4	3020	INNS	LCD	1	2016	"$1,016,100 "	"$385,700 "	"$1,401,800 "	"$950,000 "	11/12/14	"$500,000 "	9/2/08	"$1,206,600 "	"$1,206,600 "		"$195,200 "
896	11 HIGHBRIDGE RD	408/  51/  /  / 	408	51		  2470/0120	"$1,387,300 "	"$1,470,000 "	14.9	1010	SINGLE FAM MDL01	RD	1	2016	"$1,117,300 "	"$352,700 "	"$1,470,000 "	"$960,000 "	6/24/00	"$190,000 "	2/10/92	"$1,193,200 "	"$1,268,000 "		"$194,100 "
582	738 RIVER RD	405/  42/  2000/  / 	405	42	2000	  4474/0623	"$1,378,800 "	"$1,643,300 "	65	1010	SINGLE FAM MDL01	RD	1	2016	"$971,900 "	"$671,400 "	"$1,643,300 "	"$1,525,000 "	10/17/19	"$525,000 "	3/17/98	"$797,800 "	"$1,037,200 "		"$581,000 "
100021	288 ORFORD RD	406/  22/  2000/  / 	406	22	2000	  4349/0226	"$1,359,700 "	"$1,649,100 "	158.82	1010	SINGLE FAM MDL01	RD	1	2016	"$1,128,800 "	"$520,300 "	"$1,649,100 "	$0 	3/21/18	"$1,200,000 "	11/1/16	"$1,326,700 "	"$1,588,600 "		"$33,000 "
736	7 TAVERN LN	407/  60/  3000/  / 	407	60	3000	  4614/ 724	"$1,339,400 "	"$1,339,400 "	8.91	1010	SINGLE FAM MDL01	URD	2	2016	"$1,054,700 "	"$284,700 "	"$1,339,400 "	"$1,435,000 "	3/25/21	"$1,250,000 "	7/14/06	"$1,267,200 "	"$1,267,200 "		"$72,200 "
648	41 POST POND LN	407/  9/  /  / 	407	9		  3574/0925	"$1,331,000 "	"$1,331,000 "	2.2	1013	SFR WATER  MDL-01	RD	1	2016	"$838,300 "	"$492,700 "	"$1,331,000 "	"$1,406,200 "	1/9/09	"$579,000 "	9/1/98	"$1,324,400 "	"$1,324,400 "		"$6,600 "
569	651 RIVER RD	405/  30/  1000/  / 	405	30	1000	  2397/0110	"$1,315,900 "	"$1,459,900 "	22.56	3020	INNS		2	2016	"$828,800 "	"$631,100 "	"$1,459,900 "	"$632,500 "	6/3/99	"$958,500 "	4/22/99	"$1,124,000 "	"$1,250,500 "		"$191,900 "
827	43 MASA MOREY LN	407/  131/  /  / 	407	131		  2713/0090	"$1,304,000 "	"$1,638,000 "	85.15	1090	MULTI HSES	RD	2	2016	"$738,000 "	"$900,000 "	"$1,638,000 "	"$2,666 "	9/10/02	"$700,000 "	1/14/94	"$1,259,800 "	"$1,562,600 "		"$44,200 "
1226	80 POUT POND LN	414/  13/  /  / 	414	13		  3669/0171	"$1,289,400 "	"$1,445,800 "	43.7	1010	SINGLE FAM MDL01		1	2016	"$831,300 "	"$614,500 "	"$1,445,800 "	"$900,000 "	12/16/09	"$115,000 "	5/9/94	"$1,303,800 "	"$1,445,700 "		"($14,400)"
494	474 RIVER RD	404/  19/  /  / 	404	19		  4093/ 306	"$1,267,500 "	"$1,538,100 "	120	1080	SFR/ACC UNIT	RD	1	2016	"$978,200 "	"$559,900 "	"$1,538,100 "	"$362,533 "	11/5/14			"$1,162,000 "	"$1,403,800 "		"$105,500 "
