PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
547	642 RIVER RD	405/  18/  /  / 	405	18		  4379/0069	"$361,300 "	"$361,300 "	5.59	1010	SINGLE FAM MDL01	RD	1	2016	"$175,800 "	"$185,500 "	"$361,300 "	$0 	8/1/18	"$200,000 "	8/25/97	"$325,600 "	"$325,600 "		"$35,700 "
115	21 PLEASANT ST	201/  79/  1000/  / 	201	79	1000	  4440/ 498	"$358,900 "	"$479,700 "	22	1010	SINGLE FAM MDL01	LCD	1	2016	"$221,200 "	"$258,500 "	"$479,700 "	$0 	6/6/19			"$273,900 "	"$383,400 "		"$85,000 "
178	27 HIGH ST	201/  128/  1000/  / 	201	128	1000	  2197/0241	"$358,400 "	"$358,400 "	2.17	1010	SINGLE FAM MDL01	LCD	1	2016	"$231,800 "	"$126,600 "	"$358,400 "	"$165,000 "	5/17/96	"$85,000 "	3/31/89	"$302,300 "	"$302,300 "		"$56,100 "
203	102 DARTMOUTH COLLEGE HY	401/  14/  /  / 	401	14		  4551/ 229	"$357,500 "	"$357,500 "	0.83	1010	SINGLE FAM MDL01	RD	1	2016	"$232,400 "	"$125,100 "	"$357,500 "	"$303,000 "	8/31/20	"$314,000 "	12/16/19	"$288,800 "	"$288,800 "		"$68,700 "
100182	85 DARTMOUTH COLLEGE HY #1040	401/  55/  104/  / 	401	55	104	  4446/0341	"$357,100 "	"$357,100 "	0	1021	CONDO NL  MDL-05		1	2016	"$357,100 "	$0 	"$357,100 "	"$345,000 "	7/16/19	"$337,000 "	10/9/15	"$326,100 "	"$326,100 "		"$31,000 "
384	91 RIVER RD	402/  86/  /  / 	402	86		    PC/2003	"$356,900 "	"$561,800 "	18	1013	SFR WATER  MDL-01	RD	1	2016	"$115,100 "	"$446,700 "	"$561,800 "	$0 	1/1/03	"$4,000 "	4/23/93	"$261,100 "	"$439,100 "		"$95,800 "
1023	54 ISAAC PERKINS RD	409/  68/  /  / 	409	68		  4596/ 706	"$356,200 "	"$356,200 "	5.9	1040	TWO FAMILY	RD	1	2016	"$160,500 "	"$195,700 "	"$356,200 "	$0 	1/25/21			"$298,500 "	"$298,500 "		"$57,700 "
723	186 ORFORD RD	407/  57/  /  / 	407	57		  4385/0543	"$354,700 "	"$354,700 "	2.6	1010	SINGLE FAM MDL01	RD	1	2016	"$209,100 "	"$145,600 "	"$354,700 "	"$234,000 "	8/31/18	"$90,476 "	7/30/93	"$248,500 "	"$248,500 "		"$106,200 "
368	8 SLOAN LN	402/  70/  /  / 	402	70		  3529/0108	"$354,600 "	"$354,600 "	0.51	1010	SINGLE FAM MDL01	RD	1	2016	"$242,900 "	"$111,700 "	"$354,600 "	"$357,666 "	6/18/08	"$340,000 "	5/15/02	"$340,500 "	"$340,500 "		"$14,100 "
1485	636 DORCHESTER RD	421/  17/  /  / 	421	17		  2071/0813	"$353,900 "	"$353,900 "	6.94	1010	SINGLE FAM MDL01	MFD	1	2016	"$152,700 "	"$201,200 "	"$353,900 "	$0 	1/8/93	"$121,000 "	3/5/90	"$268,400 "	"$268,400 "		"$85,500 "
845	35 ORFORD RD	408/  8/  /  / 	408	8		  1776/0056	"$353,100 "	"$353,100 "	2	1010	SINGLE FAM MDL01	RD	1	2016	"$211,500 "	"$141,600 "	"$353,100 "	"$4,000 "	11/8/88			"$289,200 "	"$289,200 "		"$63,900 "
884	44 HORTON LN	408/  46/  /  / 	408	46		  1479/0812	"$352,500 "	"$426,500 "	20	1010	SINGLE FAM MDL01	RD	1	2016	"$191,000 "	"$235,500 "	"$426,500 "	"$18,000 "	8/12/83	"$36,000 "	9/9/77	"$311,300 "	"$378,500 "		"$41,200 "
526	74 NORTH THETFORD RD	404/  48/  1000/  / 	404	48	1000	  1088/0339	"$350,600 "	"$350,600 "	6.23	1090	MULTI HSES	RD	1	2016	"$133,300 "	"$217,300 "	"$350,600 "	$0 				"$268,200 "	"$268,200 "		"$82,400 "
278	50 RIVER RD	401/  68/  /  / 	401	68		  4104/ 142	"$350,300 "	"$472,900 "	43.47	1010	SINGLE FAM MDL01	RD	1	2016	"$159,300 "	"$313,600 "	"$472,900 "	$0 	12/19/14			"$240,800 "	"$350,100 "		"$109,500 "
100184	85 DARTMOUTH COLLEGE HY #7010	401/  55/  701/  / 	401	55	701	  2729/0980	"$349,600 "	"$349,600 "	0	3401	OFF CONDO  MDL-06	BD	1	2016	"$349,600 "	$0 	"$349,600 "	"$70,000 "	10/25/02	"$153,000 "	10/9/98	"$356,600 "	"$356,600 "		"($7,000)"
916	29 POUT POND LN	408/  61/  2000/  / 	408	61	2000	  3206/0321	"$349,500 "	"$349,500 "	5.25	1010	SINGLE FAM MDL01	RD	1	2016	"$171,000 "	"$178,500 "	"$349,500 "	"$278,933 "	10/13/05	$1 	12/9/98	"$284,600 "	"$284,600 "		"$64,900 "
571	667 RIVER RD	405/  31/  /  / 	405	31		  4601/ 158	"$349,100 "	"$349,100 "	3	1010	SINGLE FAM MDL01	RD	1	2016	"$169,100 "	"$180,000 "	"$349,100 "	"$260,000 "	2/8/21			"$278,900 "	"$278,900 "		"$70,200 "
879	7 HORTON LN	408/  41/  /  / 	408	41		  1090/0175	"$348,000 "	"$401,600 "	14.9	1010	SINGLE FAM MDL01	RD	1	2016	"$183,200 "	"$218,400 "	"$401,600 "	$0 				"$297,600 "	"$346,100 "		"$50,400 "
1151	349 GOOSE POND RD	411/  6/  /  / 	411	6		  1448/0590	"$347,500 "	"$347,500 "	135	9000	US GOVT	RD	1	2016	$0 	"$347,500 "	"$347,500 "	$0 				"$299,700 "	"$299,700 "		"$47,800 "
993	202 DORCHESTER RD	409/  46/  /  / 	409	46		  3971/0540	"$346,600 "	"$346,600 "	2.69	1010	SINGLE FAM MDL01	RD	1	2016	"$210,700 "	"$135,900 "	"$346,600 "	$0 	4/18/14			"$294,000 "	"$294,000 "		"$52,600 "
102766	616 RIVER RD	405/  20/  /  / 	405	20		  4118/0695	"$346,100 "	"$346,100 "	1.8	1010	SINGLE FAM MDL01	RD	1	2016	"$171,800 "	"$174,300 "	"$346,100 "	$0 	4/2/15			"$322,900 "	"$322,900 "		"$23,200 "
301	226 DARTMOUTH COLLEGE HY	402/  9/  /  / 	402	9		  1481/0250	"$346,000 "	"$432,200 "	12.5	1010	SINGLE FAM MDL01	RD	1	2016	"$197,200 "	"$235,000 "	"$432,200 "	"$40,000 "	8/22/83			"$262,800 "	"$339,800 "		"$83,200 "
100103	188 GOOSE POND RD	410/  72/  /  / 	410	72		  3667/0146	"$345,800 "	"$463,900 "	19.5	1010	SINGLE FAM MDL01	RD	1	2016	"$234,700 "	"$229,200 "	"$463,900 "	$0 	12/2/09	"$170,000 "	5/20/93	"$327,700 "	"$434,300 "		"$18,100 "
43	8 ON THE COMMON	201/  34/  /  / 	201	34		  4183/ 405	"$345,600 "	"$345,600 "	1.71	1010	SINGLE FAM MDL01	LCD	1	2016	"$137,300 "	"$208,300 "	"$345,600 "	$0 	1/13/16	"$195,000 "	7/7/04	"$319,400 "	"$319,400 "		"$26,200 "
487	175 NORTH THETFORD RD	404/  12/  /  / 	404	12		  3934/0421	"$345,100 "	"$345,100 "	1.84	1010	SINGLE FAM MDL01	RD	1	2016	"$165,100 "	"$180,000 "	"$345,100 "	"$325,000 "	11/21/12	"$112,000 "	7/26/82	"$325,500 "	"$325,500 "		"$19,600 "
769	144 ORFORD RD	407/  88/  /  / 	407	88		  4475/ 933	"$345,000 "	"$345,000 "	3.15	1010	SINGLE FAM MDL01	RD	1	2016	"$195,800 "	"$149,200 "	"$345,000 "	"$369,000 "	10/25/19	"$283,000 "	9/18/08	"$309,000 "	"$309,000 "		"$36,000 "
694	17 NORTH THETFORD RD	407/  34/  /  / 	407	34		  3793/0253	"$343,200 "	"$343,200 "	2.03	1010	SINGLE FAM MDL01	RD	1	2016	"$191,000 "	"$152,200 "	"$343,200 "	"$245,000 "	5/17/11	"$113,000 "	6/30/98	"$277,700 "	"$277,700 "		"$65,500 "
1003	57 BAKER HILL RD	409/  53/  2000/  / 	409	53	2000	  2612/0667	"$343,100 "	"$472,000 "	30	1010	SINGLE FAM MDL01	RD	1	2016	"$179,900 "	"$292,100 "	"$472,000 "	"$305,000 "	12/12/01	"$4,000 "	9/13/96	"$335,800 "	"$452,800 "		"$7,300 "
861	24 ORFORD RD	408/  24/  /  / 	408	24		  1965/0976	"$342,600 "	"$342,600 "	1.6	1010	SINGLE FAM MDL01	RD	1	2016	"$203,600 "	"$139,000 "	"$342,600 "	$0 	5/11/92	"$19,000 "	6/12/72	"$323,300 "	"$323,300 "		"$19,300 "
380	3 MAPLE LN	402/  82/  /  / 	402	82		  4548/ 132	"$342,200 "	"$342,200 "	2.1	1010	SINGLE FAM MDL01	RD	1	2016	"$184,800 "	"$157,400 "	"$342,200 "	$0 	8/24/20	"$349,000 "	3/27/20	"$281,500 "	"$281,500 "		"$60,700 "
1423	1 LAMBERT RG	419/  1/  /  / 	419	1		 	"$342,200 "	"$342,200 "	777.62	9000	US GOVT	MFD	1	2016	$0 	"$342,200 "	"$342,200 "	$0 				"$311,000 "	"$311,000 "		"$31,200 "
529	43 BRECK HILL RD	405/  1/  /  / 	405	1		  4526/ 683	"$341,000 "	"$341,000 "	2.92	1010	SINGLE FAM MDL01	RD	1	2016	"$159,300 "	"$181,700 "	"$341,000 "	$0 	6/11/20	"$260,000 "	2/8/19	"$283,400 "	"$283,400 "		"$57,600 "
219	149 GOOSE POND RD	401/  23/  3000/  / 	401	23	3000	  4049/0602	"$340,600 "	"$340,600 "	2.82	1010	SINGLE FAM MDL01	RD	1	2016	"$176,100 "	"$164,500 "	"$340,600 "	"$290,000 "	4/11/14	"$320,533 "	8/31/05	"$288,500 "	"$288,500 "		"$52,100 "
755	111 WHIPPLE HILL RD	407/  75/  /  / 	407	75		  1900/0774	"$340,400 "	"$340,400 "	2	1010	SINGLE FAM MDL01		1	2016	"$167,000 "	"$173,400 "	"$340,400 "	"$108,762 "	3/11/91	"$6,400 "	9/14/83	"$255,100 "	"$255,100 "		"$85,300 "
100563	85 DARTMOUTH COLLEGE HY #9020	401/  55/  902/  / 	401	55	902	  4366/0325	"$340,300 "	"$340,300 "	0	1021	CONDO NL  MDL-05	BD	1	2016	"$340,300 "	$0 	"$340,300 "	"$359,000 "	6/11/18	"$295,000 "	7/15/14	"$313,300 "	"$313,300 "		"$27,000 "
129	10 PLEASANT ST	201/  92/  /  / 	201	92		  4152/0371	"$339,800 "	"$339,800 "	1.3	1010	SINGLE FAM MDL01	LCD	1	2016	"$182,300 "	"$157,500 "	"$339,800 "	"$286,000 "	8/24/15	"$225,000 "	3/7/06	"$295,300 "	"$295,300 "		"$44,500 "
328	174 DARTMOUTH COLLEGE HY	402/  34/  /  / 	402	34		  4519/0079	"$339,800 "	"$339,800 "	2.9	1010	SINGLE FAM MDL01	RD	2	2016	"$178,800 "	"$161,000 "	"$339,800 "	$0 	5/13/20	"$369,000 "	11/21/18	"$325,500 "	"$325,500 "		"$14,300 "
279	38 RIVER RD	401/  69/  /  / 	401	69		  1577/0653	"$338,100 "	"$338,100 "	3.5	1010	SINGLE FAM MDL01	RD	1	2016	"$161,300 "	"$176,800 "	"$338,100 "	"$90,000 "	12/19/85			"$272,300 "	"$272,300 "		"$65,800 "
102897	60 ORFORD RD	408/  20/  /  / 	408	20		  1633/0016	"$337,800 "	"$352,800 "	4.95	1093	MLTI HS WF		4	2016	"$72,500 "	"$280,300 "	"$352,800 "	$0 	2/23/77			"$313,100 "	"$330,000 "		"$24,700 "
1166	107 GRAFTON TK	413/  2/  /  / 	413	2		  2325/0588	"$337,300 "	"$337,300 "	7	1010	SINGLE FAM MDL01	ELD	1	2016	"$182,400 "	"$154,900 "	"$337,300 "	"$85,000 "	7/1/98			"$312,100 "	"$312,100 "		"$25,200 "
210	57 GOOSE POND RD	401/  21/  /  / 	401	21		  4254/0892	"$337,100 "	"$337,100 "	1.5	1010	SINGLE FAM MDL01	RD	1	2016	"$193,800 "	"$143,300 "	"$337,100 "	$0 	12/14/16			"$285,700 "	"$285,700 "		"$51,400 "
1389	36 PONY HILL LN	416/  23/  /  / 	416	23		  1295/0448	"$336,800 "	"$365,700 "	15	1010	SINGLE FAM MDL01	RD	1	2016	"$159,400 "	"$206,300 "	"$365,700 "	$0 				"$253,400 "	"$291,000 "		"$83,400 "
1149	311 GOOSE POND RD	411/  4/  /  / 	411	4		002672/0796	"$335,600 "	"$441,600 "	24	1010	SINGLE FAM MDL01	RD	1	2016	"$165,700 "	"$275,900 "	"$441,600 "	"$2,666 "	5/24/02	"$184,000 "	7/15/97	"$257,700 "	"$353,800 "		"$77,900 "
1449	623 DORCHESTER RD	420/  9/  /  / 	420	9		  4533/ 326	"$335,600 "	"$335,600 "	0.87	1013	SFR WATER  MDL-01	ELD	1	2016	"$60,700 "	"$274,900 "	"$335,600 "	"$333,000 "	7/2/20	"$2,000 "	8/14/58	"$258,900 "	"$258,900 "		"$76,700 "
1118	52 PICO RD	410/  55/  /  / 	410	55		  1317/ 217	"$335,100 "	"$335,100 "	1.3	1010	SINGLE FAM MDL01	RD	1	2016	"$204,900 "	"$130,200 "	"$335,100 "	"$16,980 "	6/23/77			"$288,600 "	"$288,600 "		"$46,500 "
83	29 UNION ST	201/  57/  /  / 	201	57		  2338/0377	"$334,800 "	"$334,800 "	0.44	1010	SINGLE FAM MDL01	LCD	1	2016	"$173,000 "	"$161,800 "	"$334,800 "	"$155,000 "	8/28/98	"$115,000 "	3/28/85	"$321,500 "	"$321,500 "		"$13,300 "
79	17 UNION ST	201/  53/  /  / 	201	53		  0909/0569	"$333,300 "	"$333,300 "	0.99	1010	SINGLE FAM MDL01	LCD	1	2016	"$116,800 "	"$216,500 "	"$333,300 "	$0 				"$295,600 "	"$295,600 "		"$37,700 "
1204	70 GRAFTON TK	413/  31/  /  / 	413	31		  4186/ 285	"$333,100 "	"$333,100 "	2	1010	SINGLE FAM MDL01	ELD	1	2016	"$187,600 "	"$145,500 "	"$333,100 "	$0 	1/5/16	"$133,333 "	8/2/93	"$328,600 "	"$328,600 "		"$4,500 "
100523	85 DARTMOUTH COLLEGE HY #5020	401/  55/  502/  / 	401	55	502	  4570/ 692	"$332,100 "	"$332,100 "	0	1021	CONDO NL  MDL-05	BD	1	2016	"$332,100 "	$0 	"$332,100 "	"$339,000 "	11/2/20	"$295,000 "	5/19/15	"$306,200 "	"$306,200 "		"$25,900 "
653	53 POST POND LN	407/  14/  /  / 	407	14		  2426/0202	"$330,900 "	"$330,900 "	0.46	1013	SFR WATER  MDL-01		1	2016	"$68,500 "	"$262,400 "	"$330,900 "	"$125,000 "	10/15/99	"$35,000 "	8/9/93	"$293,000 "	"$293,000 "		"$37,900 "
1228	55 SMITH MOUNTAIN RD	415/  30/  /  / 	415	30		  3638/0924	"$330,800 "	"$506,600 "	70.1	1010	SINGLE FAM MDL01	RD	1	2016	"$162,200 "	"$344,400 "	"$506,600 "	$0 	8/17/09	"$4,000 "	4/8/94	"$284,100 "	"$443,500 "		"$46,700 "
355	215 DARTMOUTH COLLEGE HY	402/  57/  /  / 	402	57		  2440/0567	"$330,300 "	"$330,300 "	122.4	9200	NON PROFIT  MDL-00	RD	1	2016	$0 	"$330,300 "	"$330,300 "	$0 	7/30/99	"$6,476 "	8/11/92	"$279,100 "	"$279,100 "		"$51,200 "
33	6 MARKET ST	201/  26/  /  / 	201	26		  4368/0297	"$328,000 "	"$328,000 "	0.29	1010	SINGLE FAM MDL01	LCD	1	2016	"$176,400 "	"$151,600 "	"$328,000 "	$0 	6/19/18	"$329,067 "	6/25/14	"$301,900 "	"$301,900 "		"$26,100 "
697	7 TURNER LN	407/  37/  /  / 	407	37		  4099/0876	"$327,500 "	"$406,000 "	11.19	1010	SINGLE FAM MDL01	RD	1	2016	"$191,400 "	"$214,600 "	"$406,000 "	"$380,000 "	12/8/14	"$215,050 "	9/20/90	"$322,900 "	"$378,200 "		"$4,600 "
1203	72 GRAFTON TK	413/  30/  /  / 	413	30		  4112/0911	"$327,200 "	"$327,200 "	2	1010	SINGLE FAM MDL01	ELD	1	2016	"$189,100 "	"$138,100 "	"$327,200 "	"$2,667 "	3/2/15			"$268,800 "	"$268,800 "		"$58,400 "
1263	307 DORCHESTER RD	414/  32/  /  / 	414	32		  4232/0263	"$326,500 "	"$565,000 "	37.5	1010	SINGLE FAM MDL01	RD	1	2016	"$156,000 "	"$409,000 "	"$565,000 "	$0 	9/6/16			"$285,600 "	"$501,900 "		"$40,900 "
1061	216 BAKER HILL RD	410/  6/  /  / 	410	6		  3971/0540	"$326,400 "	"$326,400 "	7.9	1061	ACESRYBLDG  MDL-01	RD	1	2016	"$132,200 "	"$194,200 "	"$326,400 "	$0 	4/18/13	"$320,000 "	2/2/09	"$278,800 "	"$278,800 "		"$47,600 "
1267	359 DORCHESTER RD	414/  36/  /  / 	414	36		  1779/0679	"$326,100 "	"$326,100 "	2.32	1010	SINGLE FAM MDL01	RD	1	2016	"$190,300 "	"$135,800 "	"$326,100 "	"$30,000 "	12/13/88	"$7,500 "	11/17/88	"$313,600 "	"$313,600 "		"$12,500 "
542	668 RIVER RD	405/  13/  /  / 	405	13		  4348/0783	"$325,500 "	"$325,500 "	1.8	1010	SINGLE FAM MDL01	RD	1	2016	"$177,800 "	"$147,700 "	"$325,500 "	"$276,000 "	3/19/18			"$295,200 "	"$295,200 "		"$30,300 "
960	175 DORCHESTER RD	409/  13/  /  / 	409	13		  1990/0036	"$324,700 "	"$324,700 "	0.43	101	Single Fam	LCD	1	2016	"$209,600 "	"$115,100 "	"$324,700 "	"$100,000 "	9/23/92			"$307,400 "	"$307,400 "		"$17,300 "
492	520 RIVER RD	404/  17/  /  / 	404	17		  3614/0968	"$323,100 "	"$323,100 "	5.83	1010	SINGLE FAM MDL01	RD	1	2016	"$124,500 "	"$198,600 "	"$323,100 "	"$278,533 "	6/2/09			"$257,800 "	"$257,800 "		"$65,300 "
208	47 GOOSE POND RD	401/  19/  /  / 	401	19		  2430/0042	"$323,000 "	"$323,000 "	1.2	1010	SINGLE FAM MDL01	RD	1	2016	"$180,600 "	"$142,400 "	"$323,000 "	$0 	11/2/99	"$12,000 "	8/26/66	"$271,100 "	"$271,100 "		"$51,900 "
64	26 UNION ST	201/  44/  /  / 	201	44		  2161/0118	"$322,100 "	"$322,100 "	1.6	1010	SINGLE FAM MDL01	LCD	1	2016	"$103,900 "	"$218,200 "	"$322,100 "	"$80,000 "	9/22/95			"$262,500 "	"$262,500 "		"$59,600 "
1269	371 DORCHESTER RD	414/  38/  /  / 	414	38		  4492/ 467	"$321,500 "	"$417,100 "	22	1010	SINGLE FAM MDL01	RD	1	2016	"$184,700 "	"$232,400 "	"$417,100 "	"$187,500 "	1/6/20			"$290,400 "	"$377,300 "		"$31,100 "
252	10 HEWS LN	401/  49/  /  / 	401	49		  1667/0399	"$321,000 "	"$428,200 "	28.65	1010	SINGLE FAM MDL01	RD	1	2016	"$176,700 "	"$251,500 "	"$428,200 "	"$20,000 "	5/18/87			"$250,200 "	"$347,400 "		"$70,800 "
959	173 DORCHESTER RD	409/  12/  2000/  / 	409	12	2000	  3700/0590	"$320,900 "	"$320,900 "	0.34	1010	SINGLE FAM MDL01	LCD	1	2016	"$208,300 "	"$112,600 "	"$320,900 "	"$120,000 "	5/12/10	"$12,381 "	8/17/93	"$307,800 "	"$307,800 "		"$13,100 "
408	53 EAST THETFORD RD	403/  6/  /  / 	403	6		  2206/0633	"$320,000 "	"$320,000 "	1	1010	SINGLE FAM MDL01	RD	1	2016	"$171,500 "	"$148,500 "	"$320,000 "	"$199,500 "	7/9/96			"$303,200 "	"$303,200 "		"$16,800 "
245	36 GOOSE POND RD	401/  42/  /  / 	401	42		  4468/0924	"$319,600 "	"$319,600 "	0.54	1010	SINGLE FAM MDL01	RD	1	2016	"$203,900 "	"$115,700 "	"$319,600 "	"$355,000 "	9/27/19	"$179,000 "	5/15/17	"$184,400 "	"$184,400 "		"$135,200 "
557	610 RIVER RD	405/  22/  1000/  / 	405	22	1000	  4558/ 218	"$318,700 "	"$318,700 "	8.9	1010	SINGLE FAM MDL01		1	2016	"$114,900 "	"$203,800 "	"$318,700 "	"$160,000 "	9/25/20	"$115,066 "	10/6/15	"$242,600 "	"$242,600 "		"$76,100 "
221	157 GOOSE POND RD	401/  25/  /  / 	401	25		  3216/0807	"$317,500 "	"$317,500 "	1.7	1010	SINGLE FAM MDL01	RD	1	2016	"$221,900 "	"$95,600 "	"$317,500 "	"$267,000 "	11/7/05	"$65,500 "	6/5/95	"$247,100 "	"$247,100 "		"$70,400 "
994	196 DORCHESTER RD	409/  47/  /  / 	409	47		  4101/ 262	"$316,300 "	"$316,300 "	5.1	1010	SINGLE FAM MDL01	RD	1	2016	"$145,200 "	"$171,100 "	"$316,300 "	$0 	11/10/14	"$42,500 "	7/16/97	"$244,400 "	"$244,400 "		"$71,900 "
370	240 RIVER RD	402/  72/  /  / 	402	72		  2364/0244	"$312,000 "	"$312,000 "	58	9200	NON PROFIT  MDL-00	RD	1	2016	$0 	"$312,000 "	"$312,000 "	"$175,000 "	9/23/98	"$4,000 "	11/11/96	"$255,600 "	"$255,600 "		"$56,400 "
788	75 PINNACLE RD	407/  100/  /  / 	407	100		  4306/0019	"$311,900 "	"$311,900 "	5.1	1010	SINGLE FAM MDL01	RD	1	2016	"$155,600 "	"$156,300 "	"$311,900 "	"$170,000 "	8/20/17	"$272,533 "	10/18/16	"$217,300 "	"$217,300 "		"$94,600 "
953	165 DORCHESTER RD	409/  9/  /  / 	409	9		  2531/0935	"$310,100 "	"$310,100 "	0.5	1010	SINGLE FAM MDL01	LCD	1	2016	"$183,800 "	"$126,300 "	"$310,100 "	"$140,000 "	4/20/01	"$128,000 "	9/4/96	"$326,700 "	"$326,700 "		"($16,600)"
382	116 RIVER RD	402/  84/  /  / 	402	84		  4059/0770	"$309,800 "	"$309,800 "	0.94	1010	SINGLE FAM MDL01	RD	1	2016	"$150,900 "	"$158,900 "	"$309,800 "	"$286,534 "	6/3/14	"$4,000 "	6/1/93	"$270,400 "	"$270,400 "		"$39,400 "
637	135 MUD TURTLE POND RD	406/  34/  /  / 	406	34		  4384/0825	"$309,800 "	"$309,800 "	2	1010	SINGLE FAM MDL01	RD	1	2016	"$228,800 "	"$81,000 "	"$309,800 "	$0 	8/28/18	"$30,000 "	2/24/06	"$272,100 "	"$272,100 "		"$37,700 "
341	30 SHOESTRAP RD	402/  47/  /  / 	402	47		  4497/ 852	"$309,300 "	"$309,300 "	0.34	1090	MULTI HSES	RD	2	2016	"$185,500 "	"$123,800 "	"$309,300 "	"$280,000 "	1/30/20			"$229,800 "	"$229,800 "		"$79,500 "
774	31 PINNACLE RD	407/  93/  /  / 	407	93		  4020/0964	"$308,900 "	"$308,900 "	2	1010	SINGLE FAM MDL01	RD	1	2016	"$161,200 "	"$147,700 "	"$308,900 "	$1 	10/24/13			"$233,400 "	"$233,400 "		"$75,500 "
617	368 ORFORD RD	406/  14/  /  / 	406	14		  4513/ 405	"$308,500 "	"$308,500 "	5.81	1010	SINGLE FAM MDL01	RD	1	2016	"$153,300 "	"$155,200 "	"$308,500 "	"$245,000 "	4/21/20	$100 	6/21/74	"$260,700 "	"$260,700 "		"$47,800 "
241	72 GOOSE POND RD	401/  39/  /  / 	401	39		  4013/0532	"$307,200 "	"$863,300 "	174	1010	SINGLE FAM MDL01	RD	1	2016	"$143,900 "	"$719,400 "	"$863,300 "	"$750,000 "	9/24/13			"$237,800 "	"$742,300 "		"$69,400 "
605	393 ORFORD RD	406/  8/  /  / 	406	8		  2997/0362	"$307,200 "	"$307,200 "	0.9	1010	SINGLE FAM MDL01	RD	1	2016	"$173,900 "	"$133,300 "	"$307,200 "	$0 	5/11/04	"$95,000 "	2/5/96	"$292,500 "	"$292,500 "		"$14,700 "
148	50 HIGH ST	201/  102/  1000/  / 	201	102	1000	  4403/0829	"$306,500 "	"$306,500 "	1.37	1010	SINGLE FAM MDL01	LCD	1	2016	"$163,800 "	"$142,700 "	"$306,500 "	$0 	11/29/18	"$122,000 "	8/24/94	"$246,900 "	"$246,900 "		"$59,600 "
276	6 WILMOTT WY	401/  66/  /  / 	401	66		  4196/0207	"$306,500 "	"$306,500 "	1.5	1010	SINGLE FAM MDL01	RD	1	2016	"$133,100 "	"$173,400 "	"$306,500 "	"$299,900 "	1/4/16	"$140,000 "	8/15/94	"$290,100 "	"$290,100 "		"$16,400 "
1078	99 BEAR HILL LN	410/  15/  /  / 	410	15		  4008/0854	"$304,800 "	"$304,800 "	6.2	1010	SINGLE FAM MDL01	RD	1	2016	"$200,900 "	"$103,900 "	"$304,800 "	"$289,000 "	9/4/13	"$170,000 "	5/8/03	"$248,800 "	"$248,800 "		"$56,000 "
1282	473 DORCHESTER RD	414/  45/  /  / 	414	45		  2121/0393	"$304,600 "	"$304,600 "	83	9000	US GOVT	ELD	1	2016	$0 	"$304,600 "	"$304,600 "	$0 	12/2/94			"$261,200 "	"$261,200 "		"$43,400 "
168	13 CREAMERY LN	201/  118/  /  / 	201	118		  4111/0827	"$304,100 "	"$304,100 "	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	"$174,500 "	"$129,600 "	"$304,100 "	$0 	2/23/15	"$4,000 "	3/23/88	"$245,500 "	"$245,500 "		"$58,600 "
236	142 GOOSE POND RD	401/  36/  /  / 	401	36		  3084/0708	"$304,100 "	"$304,100 "	0.91	1010	SINGLE FAM MDL01	RD	1	2016	"$184,400 "	"$119,700 "	"$304,100 "	$0 	12/1/04	"$96,000 "	12/24/90	"$220,200 "	"$220,200 "		"$83,900 "
901	172 ACORN HILL RD	408/  56/  /  / 	408	56		  2008/0171	"$303,900 "	"$303,900 "	0.94	1010	SINGLE FAM MDL01	RD	1	2016	"$135,200 "	"$168,700 "	"$303,900 "	$0 	1/6/93			"$205,700 "	"$205,700 "		"$98,200 "
1101	59 PICO RD	410/  38/  /  / 	410	38		  4449/0260	"$303,900 "	"$303,900 "	2.07	1010	SINGLE FAM MDL01	RD	1	2016	"$176,500 "	"$127,400 "	"$303,900 "	"$320,000 "	7/10/19	"$262,733 "	7/28/06	"$243,700 "	"$243,700 "		"$60,200 "
1232	12 SMITH MOUNTAIN RD	414/  19/  /  / 	414	19		  2031/0905	"$303,600 "	"$303,600 "	3.2	1010	SINGLE FAM MDL01	RD	1	2016	"$156,500 "	"$147,100 "	"$303,600 "	$0 	6/16/93			"$270,400 "	"$270,400 "		"$33,200 "
708	18 NORTH THETFORD RD	407/  48/  /  / 	407	48		  4108/ 800	"$302,500 "	"$302,500 "	2.8	1010	SINGLE FAM MDL01	RD	1	2016	"$144,900 "	"$157,600 "	"$302,500 "	$0 	1/28/15	"$75,000 "	11/30/06	"$272,800 "	"$272,800 "		"$29,700 "
18	7 MARKET ST	201/  12/  1000/  / 	201	12	1000	  4538/ 917	"$301,600 "	"$301,600 "	0.37	1010	SINGLE FAM MDL01	LCD	1	2016	"$162,500 "	"$139,100 "	"$301,600 "	"$435,000 "	7/23/20	"$97,000 "	10/7/88	"$299,900 "	"$299,900 "		"$1,700 "
249	13 HEWS LN	401/  46/  /  / 	401	46		  1988/0756	"$300,200 "	"$300,200 "	2.8	1010	SINGLE FAM MDL01	RD	1	2016	"$155,900 "	"$144,300 "	"$300,200 "	$0 	9/15/92	"$15,000 "	9/22/88	"$289,400 "	"$289,400 "		"$10,800 "
