PID,Location,Map,Lot,Unit,Town_Assessment,Scraped_Value
247, 1 DARTMOUTH COLLEGE HY ,401,44,,183100.0,183100.0
850, 88 POST POND LN ,408,13,,185700.0,185700.0
734,1 TAVERN LN ,407,60,1000,820600.0,820600.0
636, 131 MUD TURTLE POND RD ,406,33,,4200.0,4200.0
993, 202 DORCHESTER RD ,409,46,,346600.0,346600.0
142, 11 DORCHESTER RD ,201,99,,377200.0,377200.0
1101, 59 PICO RD ,410,38,,303900.0,303900.0
95, 2 EAST THETFORD RD ,201,69,,542700.0,542700.0
388, 117 RIVER RD ,402,90,,73500.0,73500.0
841, 13 ORFORD RD ,408,4,,749400.0,749400.0
840, 11 ORFORD RD ,408,3,,220200.0,220200.0
3, POWER LINES ,100,3,,2527700.0,2527700.0
959,173 DORCHESTER RD ,409,12,2000,320900.0,320900.0
1455, 638 DORCHESTER RD ,420,15,,450100.0,450100.0
1456, 634 DORCHESTER RD ,420,16,,208500.0,208500.0
101182,89 WASHBURN HILL RD ,402,1,2000,789800.0,789800.0
276, 6 WILMOTT WY ,401,66,,306500.0,306500.0
1257, 267 DORCHESTER RD ,414,31,,279700.0,279700.0
961, 177 DORCHESTER RD ,409,14,,627600.0,627600.0
260, 82 RIVER RD ,401,57,,247100.0,247100.0
871, 61 DORCHESTER RD ,408,33,,548600.0,548600.0
1209, 21 FLINT HILL RD ,414,3,,493600.0,493600.0
711, 187 ORFORD RD ,407,51,,288600.0,288600.0
1112, 54 BLISS LN ,410,49,,365300.0,365300.0
62, 30 UNION ST ,201,42,,649200.0,649200.0
529, 43 BRECK HILL RD ,405,1,,341000.0,341000.0
1255,265 DORCHESTER RD ,414,30,1000,521300.0,521300.0
667, 69 POST POND LN ,407,21,,152600.0,152600.0
1233, 99 FLINT HILL RD ,414,20,,480900.0,480900.0
755, 111 WHIPPLE HILL RD ,407,75,,340400.0,340400.0
236, 142 GOOSE POND RD ,401,36,,304100.0,304100.0
235, 144 GOOSE POND RD ,401,35,,625200.0,625200.0
378, 136 RIVER RD ,402,80,,403700.0,403700.0
527,68 NORTH THETFORD RD ,404,48,2000,520100.0,520100.0
700, 57 NORTH THETFORD RD ,407,40,,126500.0,126500.0
526,74 NORTH THETFORD RD ,404,48,1000,350600.0,350600.0
935,114 FRANKLIN HILL RD ,408,70,2000,721600.0,721600.0
29, 14 MARKET ST ,201,22,,656100.0,656100.0
703, 38 NORTH THETFORD RD ,407,43,,258200.0,258200.0
704, 8 PUSHEE FALLS LN ,407,44,,295600.0,295600.0
1020, 47 ISAAC PERKINS RD ,409,65,,250200.0,250200.0
617, 368 ORFORD RD ,406,14,,308500.0,308500.0
994, 196 DORCHESTER RD ,409,47,,316300.0,316300.0
434, 303 RIVER RD ,403,17,,246100.0,246100.0
32, 8 MARKET ST ,201,25,,277800.0,277800.0
