PID,Location,Map,Lot,Unit,Town_Assessment,Scraped_Value
1451, 629 DORCHESTER RD ,420,11,,254600.0,254600.0
321, 97 PRESTON RD ,402,27,,215400.0,215400.0
107, 13 MAIN ST ,201,76,,623200.0,623200.0
128, 12+14 PLEASANT ST ,201,91,,583500.0,583500.0
257, 77 DARTMOUTH COLLEGE HY ,401,54,,187600.0,187600.0
1004, 63 BAKER HILL RD ,409,54,,546100.0,546100.0
220, 153 GOOSE POND RD ,401,24,,288500.0,288500.0
177, 19 HIGH ST ,201,127,,214900.0,214900.0
845, 35 ORFORD RD ,408,8,,353100.0,353100.0
100563,85 DARTMOUTH COLLEGE HY #9020 ,401,55,902,340300.0,340300.0
941, 76 FRANKLIN HILL RD ,408,72,,583300.0,583300.0
59, 36 UNION ST ,201,39,,511800.0,511800.0
125, 24 PLEASANT ST ,201,88,,427700.0,427700.0
60, 32 UNION ST ,201,40,,704000.0,704000.0
834, 4 PINNACLE RD ,407,138,,276500.0,276500.0
1140, 321 BAKER HILL RD ,410,77,,418900.0,418900.0
1141, 327 BAKER HILL RD ,410,78,,3300.0,3300.0
650, 47 POST POND LN ,407,11,,418900.0,418900.0
701, 52 NORTH THETFORD RD ,407,41,,384700.0,384700.0
824, 98 PINNACLE RD ,407,128,,228800.0,228800.0
124, 26+28 PLEASANT ST ,201,87,,577900.0,577900.0
7, 42 DORCHESTER RD ,201,4,,181800.0,181800.0
8, 40 DORCHESTER RD ,201,5,,254400.0,254400.0
152, 38 HIGH ST ,201,105,,260000.0,260000.0
153, 36 HIGH ST ,201,106,,260700.0,260700.0
1137, 176 GOOSE POND RD ,410,74,,101500.0,101500.0
537, 125 BRECK HILL RD ,405,8,,886200.0,886200.0
977, 8 ACORN HILL RD ,409,30,,776700.0,776700.0
39,14 ON THE COMMON ,201,31,1000,576700.0,576700.0
1126, 203 GOOSE POND RD ,410,63,,297900.0,297900.0
1016, 124 BAKER HILL RD ,409,61,,277700.0,277700.0
759, 149 WHIPPLE HILL RD ,407,79,,281300.0,281300.0
117,25 PLEASANT ST ,201,80,10,406300.0,406300.0
326, 188 DARTMOUTH COLLEGE HY ,402,32,,507900.0,507900.0
379, 130 RIVER RD ,402,81,,178600.0,178600.0
233, 154 GOOSE POND RD ,401,33,,146600.0,146600.0
400, 207 RIVER RD ,402,102,,502200.0,502200.0
100302, 54 BAKER HILL RD ,409,81,,469900.0,469900.0
381, 2 MAPLE LN ,402,83,,180800.0,180800.0
1150, 333 GOOSE POND RD ,411,5,,385800.0,385800.0
82, 27 UNION ST ,201,56,,417000.0,417000.0
1061, 216 BAKER HILL RD ,410,6,,326400.0,326400.0
1078, 99 BEAR HILL LN ,410,15,,304800.0,304800.0
1093, 7 CLAFLIN LN ,410,30,,139200.0,139200.0
323, 218 DARTMOUTH COLLEGE HY ,402,29,,293100.0,293100.0
692, 13 NORTH THETFORD RD ,407,32,,798100.0,798100.0
437, 315 RIVER RD ,403,20,,1026200.0,1026200.0
394, 139 RIVER RD ,402,96,,726500.0,726500.0
943, 66 FRANKLIN HILL RD ,408,74,,500100.0,500100.0
1092, 215 BAKER HILL RD ,410,29,,470800.0,470800.0
167, 4 CREAMERY LN ,201,117,,513300.0,513300.0
325, 204 DARTMOUTH COLLEGE HY ,402,31,,1001800.0,1001800.0
52,6 ON THE COMMON UNIT #3 ,201,35,30,157100.0,157100.0
707, 22 NORTH THETFORD RD ,407,47,,371300.0,371300.0
389, 123 RIVER RD ,402,91,,380400.0,380400.0
1299, 376 DORCHESTER RD ,414,54,,423800.0,423800.0
101082,10 WHIPPLE HILL RD-GRAVELPIT ,407,86,1100,179500.0,179500.0
1208, 17 FLINT HILL RD ,414,2,,456500.0,456500.0
979, 197 DORCHESTER RD ,409,32,,225000.0,225000.0
982, 215 DORCHESTER RD ,409,35,,249400.0,249400.0
1340, 65 POUT POND LN ,415,15,,420500.0,420500.0
769, 144 ORFORD RD ,407,88,,345000.0,345000.0
1335, 34 HARDSCRABBLE LN ,415,11,,562600.0,562600.0
458, 336 RIVER RD ,403,41,,460000.0,460000.0
54,6 ON THE COMMON UNIT #5 ,201,35,50,152900.0,152900.0
971, 22 POUT POND LN ,409,24,,380500.0,380500.0
271, 25 WILMOTT WY ,401,61,,421400.0,421400.0
995, 188 DORCHESTER RD ,409,48,,260500.0,260500.0
348, 173 DARTMOUTH COLLEGE HY ,402,53,,436800.0,436800.0
942, 70 FRANKLIN HILL RD ,408,73,,630000.0,630000.0
100863,161 GOOSE POND RD ,401,23,1200,267300.0,267300.0
1325, 22 PONY HILL LN ,415,1,,459800.0,459800.0
100142,85 DARTMOUTH COLLEGE HY #1010 ,401,55,101,197500.0,197500.0
913, 62 ACORN HILL RD ,408,60,,175200.0,175200.0
996, 182 DORCHESTER RD ,409,49,,522800.0,522800.0
432, 299 RIVER RD ,403,15,,23700.0,23700.0
102732, 172 GOOSE POND RD ,410,76,,105600.0,105600.0
1049, 116 DORCHESTER RD ,409,94,,192500.0,192500.0
26, 26 MARKET ST ,201,19,,364400.0,364400.0
336, 11 MAPLE LN ,402,42,,369000.0,369000.0
341, 30 SHOESTRAP RD ,402,47,,309300.0,309300.0
100542,85 DARTMOUTH COLLEGE HY #6010 ,401,55,601,473800.0,473800.0
814, 1 CUTTING HILL LN ,407,122,,670300.0,670300.0
163, 14 HIGH ST ,201,112,,428500.0,428500.0
359, 233 DARTMOUTH COLLEGE HY ,402,61,,227500.0,227500.0
775, 33 PINNACLE RD ,407,94,,292100.0,292100.0
27, 22 MARKET ST ,201,20,,536700.0,536700.0
698, 15 TURNER LN ,407,38,,665700.0,665700.0
558,608 RIVER RD ,405,22,2000,256700.0,256700.0
544, 658 RIVER RD ,405,15,,233900.0,233900.0
1124, 183 GOOSE POND RD ,410,61,,134500.0,134500.0
522, 88 NORTH THETFORD RD ,404,47,,295300.0,295300.0
952, 147 DORCHESTER RD ,409,8,,268200.0,268200.0
104, 5 MAIN ST ,201,73,,1449300.0,1449300.0
690, 16 POST POND LN ,407,30,,926900.0,926900.0
18,7 MARKET ST ,201,12,1000,301600.0,301600.0
19,5 MARKET ST ,201,12,2000,154000.0,154000.0
234, 148 GOOSE POND RD ,401,34,,362900.0,362900.0
787, 67+69 PINNACLE RD ,407,99,,429700.0,429700.0
42, 10 ON THE COMMON ,201,33,,488500.0,488500.0
962, 179 DORCHESTER RD ,409,15,,451100.0,451100.0
244, 40 GOOSE POND RD ,401,41,,800.0,800.0
1024, 48 ISAAC PERKINS RD ,409,69,,291300.0,291300.0
1265, 343 DORCHESTER RD ,414,34,,379400.0,379400.0
20, 11 MARKET ST ,201,13,,615800.0,615800.0
483, 111 NORTH THETFORD RD ,404,8,,700.0,700.0
168, 13 CREAMERY LN ,201,118,,304100.0,304100.0
1118, 52 PICO RD ,410,55,,335100.0,335100.0
1091, 205 BAKER HILL RD ,410,28,,234400.0,234400.0
28, 20 MARKET ST ,201,21,,594000.0,594000.0
532, 89 BRECK HILL RD ,405,4,,241100.0,241100.0
736,7 TAVERN LN ,407,60,3000,1339400.0,1339400.0
473, 24 RECORDRIDGE LN ,403,52,,745500.0,745500.0
861, 24 ORFORD RD ,408,24,,342600.0,342600.0
1198, 16 CANAAN LEDGE LN ,413,25,,0.0,0.0
53,6 ON THE COMMON UNIT #4 ,201,35,40,181500.0,181500.0
10, 32 DORCHESTER RD ,201,7,,417100.0,417100.0
843, 23 ORFORD RD ,408,6,,235800.0,235800.0
486, 161 NORTH THETFORD RD ,404,11,,585900.0,585900.0
560, 591 RIVER RD ,405,24,,286300.0,286300.0
1199, 10 CANAAN LEDGE LN ,413,26,,258300.0,258300.0
557,610 RIVER RD ,405,22,1000,318700.0,318700.0
723, 186 ORFORD RD ,407,57,,354700.0,354700.0
490, 526 RIVER RD ,404,15,,501400.0,501400.0
1206, GRAFTON TK ,413,33,,625400.0,625400.0
349, 183 DARTMOUTH COLLEGE HY ,402,54,,102600.0,102600.0
355, 215 DARTMOUTH COLLEGE HY ,402,57,,330300.0,330300.0
357, 223 DARTMOUTH COLLEGE HY ,402,59,,159000.0,159000.0
370, 240 RIVER RD ,402,72,,312000.0,312000.0
686, 50 POST POND LN ,407,26,,11600.0,11600.0
350, 199 DARTMOUTH COLLEGE HY ,402,55,,52200.0,52200.0
358, 229 DARTMOUTH COLLEGE HY ,402,60,,9300.0,9300.0
1151, 349 GOOSE POND RD ,411,6,,347500.0,347500.0
1154, 354 GOOSE POND RD ,411,9,,100400.0,100400.0
1282, 473 DORCHESTER RD ,414,45,,304600.0,304600.0
1292, 442 DORCHESTER RD ,414,51,,186800.0,186800.0
1302, 320 DORCHESTER RD ,414,57,,191600.0,191600.0
1312, 290 DORCHESTER RD ,414,66,,778800.0,778800.0
1423, 1 LAMBERT RG ,419,1,,342200.0,342200.0
1437, 545 DORCHESTER RD ,419,9,,183500.0,183500.0
1438, 509 DORCHESTER RD ,420,1,,177200.0,177200.0
1440, 535 DORCHESTER RD ,420,3,,404400.0,404400.0
1435, 7 LAMBERT RG ,419,7,,88300.0,88300.0
1436, 8 LAMBERT RG ,419,8,,57100.0,57100.0
1439, 511 DORCHESTER RD ,420,2,,85000.0,85000.0
1441, 525 DORCHESTER RD ,420,4,,7500.0,7500.0
1202, 2 CANAAN LEDGE LN ,413,29,,432200.0,432200.0
784,39 PINNACLE RD ,407,96,2000,153000.0,153000.0
774, 31 PINNACLE RD ,407,93,,308900.0,308900.0
1196, 18 CANAAN LEDGE LN ,413,23,,494300.0,494300.0
1197, 14 CANAAN LEDGE LN ,413,24,,67900.0,67900.0
13, 18 DORCHESTER RD ,201,10,,556400.0,556400.0
901, 172 ACORN HILL RD ,408,56,,303900.0,303900.0
41, 12 ON THE COMMON ,201,32,,633000.0,633000.0
768, 150 ORFORD RD ,407,87,,837000.0,837000.0
91, 2 HAMILTON LN ,201,65,,803300.0,803300.0
92, 8 EAST THETFORD RD ,201,66,,257300.0,257300.0
335, 12 MAPLE LN ,402,41,,287800.0,287800.0
708, 18 NORTH THETFORD RD ,407,48,,302500.0,302500.0
100502,85 DARTMOUTH COLLEGE HY #4010 ,401,55,401,421200.0,421200.0
103, 10 LATHAM LN ,201,72,,289200.0,289200.0
306, 69 WASHBURN HILL RD ,402,14,,474500.0,474500.0
547, 642 RIVER RD ,405,18,,361300.0,361300.0
435, 307 RIVER RD ,403,18,,292500.0,292500.0
390, 129 RIVER RD ,402,92,,454600.0,454600.0
1038, 14 BAKER HILL RD ,409,83,,200600.0,200600.0
515, 24 BRECK HILL RD ,404,40,,361300.0,361300.0
440, 327 RIVER RD ,403,23,,281900.0,281900.0
231,162 GOOSE POND RD ,401,31,1000,174100.0,174100.0
101602,27 PLEASANT ST ,201,80,20,223200.0,223200.0
976, 20 ACORN HILL RD ,409,29,,474500.0,474500.0
1484, 41 OLD DORCHESTER RD ,421,16,,271300.0,271300.0
738,41 CULVER HILL LN ,407,60,5000,646500.0,646500.0
65, 24 UNION ST ,201,45,,544900.0,544900.0
405, 300 DARTMOUTH COLLEGE HY ,403,3,,291100.0,291100.0
915,21 POUT POND LN ,408,61,1000,289500.0,289500.0
1138, 174 GOOSE POND RD ,410,75,,86500.0,86500.0
273, 34 WILMOTT WY ,401,63,,133500.0,133500.0
274, 20 WILMOTT WY ,401,64,,369700.0,369700.0
343, 28 SHOESTRAP RD ,402,48,,435600.0,435600.0
474, 20 RECORDRIDGE LN ,403,53,,519200.0,519200.0
625,280 ORFORD RD ,406,22,1000,763900.0,763900.0
487, 175 NORTH THETFORD RD ,404,12,,345100.0,345100.0
605, 393 ORFORD RD ,406,8,,307200.0,307200.0
1125, 193 GOOSE POND RD ,410,62,,77400.0,77400.0
331, 150 DARTMOUTH COLLEGE HY ,402,37,,194300.0,194300.0
788, 75 PINNACLE RD ,407,100,,311900.0,311900.0
78, 15 UNION ST ,201,52,,390300.0,390300.0
495, 429 RIVER RD ,404,20,,641700.0,641700.0
317, 71 PRESTON RD ,402,25,,514700.0,514700.0
438, 319 RIVER RD ,403,21,,570500.0,570500.0
439, 323 RIVER RD ,403,22,,6400.0,6400.0
253, 8 HEWS LN ,401,50,,362500.0,362500.0
