PID,Location,Map,Lot,Unit,Town_Assessment,Scraped_Value
821,47 HIGHBRIDGE RD ,407,125,2000,1300.0,243100.0
307,77 WASHBURN HILL RD ,402,15,1000,758500.0,860600.0
101342,767 RIVER RD ,405,38,2000,1721800.0,1823100.0
478, 46 STORRS HILL LN ,404,3,,461300.0,793000.0
250, 17 HEWS LN ,401,47,,2700.0,341700.0
1401, 190 CELLARS LN ,416,27,,3300.0,49300.0
1443, 539 DORCHESTER RD ,420,6,,5900.0,589400.0
627, 129 CULVER HILL LN ,406,24,,1100.0,32700.0
618, 346 ORFORD RD ,406,15,,267600.0,363200.0
620, 344 ORFORD RD ,406,17,,6900.0,70300.0
621, 328 ORFORD RD ,406,18,,289600.0,350600.0
741, 63 CULVER HILL LN ,407,61,,389300.0,509500.0
1214, 57 POUT POND LN ,414,8,,200.0,33200.0
1338, 61 POUT POND LN ,415,14,,667900.0,694000.0
100264, 80 NORTH THETFORD RD ,404,51,,400.0,208200.0
100361, 137 MUD TURTLE POND RD ,406,26,,4200.0,83150.0
101325, 310 DARTMOUTH COLLEGE HY ,403,1,,832200.0,1083100.0
1105, 31 BLISS LN ,410,42,,725500.0,970800.0
565, 639 RIVER RD ,405,29,,511500.0,580000.0
810, 85 HIGHBRIDGE RD ,407,118,,1042400.0,1167100.0
533, 99 BRECK HILL RD ,405,5,,757100.0,831200.0
725, 1 CULVER HILL LN ,407,59,,664300.0,748000.0
1402, 115 ORFORDVILLE RD ,417,1,,4000.0,305600.0
1030, 16 ISAAC PERKINS RD ,409,75,,633200.0,723000.0
479, 28 STORRS HILL LN ,404,4,,1058300.0,1359900.0
1157, 310 GOOSE POND RD ,411,12,,202200.0,255400.0
578,765 RIVER RD ,405,38,1000,1804500.0,1953100.0
472, 26 RECORDRIDGE LN ,403,51,,890300.0,956600.0
1227, 39 SMITH MOUNTAIN RD ,414,14,,574300.0,785600.0
1169, 137 GRAFTON TK ,413,5,,718300.0,780000.0
892,145 FRANKLIN HILL RD ,408,48,1000,155100.0,554000.0
897, 3 HARDSCRABBLE LN ,408,52,,6100.0,138700.0
807, 41 HIGHBRIDGE RD ,407,115,,14500.0,722500.0
895, 181 ACORN HILL RD ,408,50,,941900.0,1026500.0
858, 60 MASA MOREY LN ,408,21,,8700.0,290600.0
785, 65 PINNACLE RD ,407,97,,1138100.0,1375300.0
180, 19 ROCKY HILL LN ,201,130,,812100.0,882500.0
